"date","message","Number of files","Number of lines","0 - Ruby","1 - Haml","2 - YAML","3 - SASS","4 - JSON"
"2016-03-31 13:35:12 +0100","Merge pull request #1216 from ministryofjustice/fix-redeterminations-bug  Fix detection of redeterminations and awaiting_written_reasons in the state transitions list.","883","35426","25354","4116","1477","1366","1301"
"2016-03-30 13:05:45 +0100","Merge pull request #1215 from ministryofjustice/summary-back-button  Claim summary back button","883","35384","25312","4116","1477","1366","1301"
"2016-03-29 15:21:42 +0100","Merge pull request #1214 from ministryofjustice/update-confirmation-page  Update the copy on the confirmation page","883","35383","25312","4115","1477","1366","1301"
"2016-03-29 14:37:07 +0100","Merge pull request #1213 from ministryofjustice/add-graduated-fee-model  Add GraduatedFee model and validator","883","35377","25312","4118","1475","1359","1301"
"2016-03-29 09:10:47 +0100","Merge pull request #1152 from ministryofjustice/claim-summary-page  Claim summary page","880","35360","25295","4118","1475","1359","1301"
"2016-03-24 16:46:49 +0000","Merge pull request #1209 from ministryofjustice/grad_fee  Implement Graduated Fee Types","872","34940","25289","3759","1469","1311","1301"
"2016-03-24 10:06:50 +0000","Merge pull request #1208 from ministryofjustice/restore-allocation-filter-form-css-class  Add allocation-filter-form css class back to filter form","870","34879","25228","3759","1469","1311","1301"
"2016-03-23 17:07:30 +0000","Merge pull request #1206 from ministryofjustice/date_case_concluded  Add case_concluded_at to claim, plus validations and specs","870","34879","25228","3759","1469","1311","1301"
"2016-03-23 16:02:05 +0000","Merge pull request #1207 from ministryofjustice/fix-allocation-flaky-test  Changing the claim state transitions order to fix some flaky tests.","869","34811","25160","3759","1469","1311","1301"
"2016-03-23 14:49:04 +0000","Merge pull request #1205 from ministryofjustice/implement-agfs-lgfs-choice-design  Implement agfs lgfs choice design","869","34811","25160","3759","1469","1311","1301"
"2016-03-23 10:48:55 +0000","remove extra indendation","869","34777","25135","3753","1466","1311","1301"
"2016-03-23 10:47:57 +0000","Merge pull request #1203 from ministryofjustice/writtenreasons  Allow caseworker to make a redetermination from written reason","869","34777","25135","3753","1466","1311","1301"
"2016-03-22 16:12:07 +0000","Merge pull request #1202 from ministryofjustice/issues-1201  Updated header and minor cleanup of sass files","869","34764","25122","3753","1466","1311","1301"
"2016-03-22 09:43:56 +0000","Merge pull request #1200 from ministryofjustice/conf_copy  Change capitalisation on certification page","867","34769","25122","3755","1466","1314","1301"
"2016-03-22 09:40:54 +0000","Merge pull request #1196 from ministryofjustice/issues-1190  Issues 1190","867","34748","25116","3740","1466","1314","1301"
"2016-03-21 16:20:28 +0000","Merge pull request #1199 from ministryofjustice/move-features-to-rspec-part2  Refactor as much cucumber features as possible to specs. Part II.","867","34747","25116","3738","1466","1315","1301"
"2016-03-21 14:44:49 +0000","Merge pull request #1197 from ministryofjustice/add-offence-error-translation  add missing offence invalid translation","866","34593","24962","3738","1466","1315","1301"
"2016-03-21 13:12:54 +0000","Merge pull request #1192 from ministryofjustice/new_expense_types  New expense types","866","34589","24962","3738","1462","1315","1301"
"2016-03-21 11:43:21 +0000","Merge pull request #1193 from ministryofjustice/split-external-user-claim-controller  Split external user claim controller","852","33588","23962","3738","1461","1315","1301"
"2016-03-21 09:51:06 +0000","Merge pull request #1194 from ministryofjustice/exclude-db-directory-from-codeclimate  Exclude db/* db/migrate/* db/seeds/* from CodeClimate","846","33226","23599","3739","1461","1315","1301"
"2016-03-18 13:54:30 +0000","Merge pull request #1191 from ministryofjustice/move-features-to-rspec  Refactor as much cucumber features as possible to specs. Part I.","846","33223","23599","3739","1458","1315","1301"
"2016-03-17 13:49:40 +0000","Merge pull request #1189 from ministryofjustice/search-by-case-number  Case number search for external users and case workers","846","33036","23412","3739","1458","1315","1301"
"2016-03-17 10:09:27 +0000","Merge pull request #1187 from ministryofjustice/issues-1185  Issues 1185","846","33027","23403","3739","1458","1315","1301"
"2016-03-16 16:41:24 +0000","Merge pull request #1186 from ministryofjustice/fix-litigator-claims-seed-data  Not using external_user in the CSV presenter, going directly to the provider.","846","33106","23403","3751","1458","1382","1301"
"2016-03-16 16:17:11 +0000","Merge branch 'issues-1179' into develop","846","33106","23403","3751","1458","1382","1301"
"2016-03-16 14:47:29 +0000","Merge pull request #1183 from ministryofjustice/discontinuances-in-guilty-plea-scope  Include Discontinuance case types in Guilty Plea allocation filter","861","33853","23403","3751","1458","2129","1301"
"2016-03-16 14:27:10 +0000","Merge pull request #1172 from ministryofjustice/issues-1156  Issues 1156","861","33852","23402","3751","1458","2129","1301"
"2016-03-16 13:24:42 +0000","Merge pull request #1181 from ministryofjustice/sidekiq-docker  Start sidekiq in docker container.","861","33858","23402","3749","1458","2137","1301"
"2016-03-16 11:35:15 +0000","Merge pull request #1176 from ministryofjustice/unarchive-feature  'Unarchive' feature for archived claims","860","33854","23402","3749","1456","2137","1301"
"2016-03-16 11:33:38 +0000","Merge pull request #1174 from ministryofjustice/success-alert  Success alerts styling","860","33813","23366","3744","1456","2137","1301"
"2016-03-15 17:07:36 +0000","Merge pull request #1180 from ministryofjustice/fix-claim-count-summary  Fix claim count summary on index pages","861","33798","23353","3750","1456","2129","1301"
"2016-03-15 15:14:28 +0000","Merge pull request #1177 from ministryofjustice/seed-data  Remove Unused expense types from seed data","861","33798","23353","3750","1456","2129","1301"
"2016-03-15 15:13:59 +0000","Merge pull request #1178 from ministryofjustice/mi-scheduling  Changing the scheduler to run at the correct time, and logging errors.","861","33800","23355","3750","1456","2129","1301"
"2016-03-15 10:02:52 +0000","Merge pull request #1175 from ministryofjustice/setup-scheduler  Implement scheduled jobs to run nightly housekeeping tasks.","861","33793","23348","3750","1456","2129","1301"
"2016-03-15 09:22:15 +0000","Merge pull request #1173 from ministryofjustice/mi-db  Write Management Information Reports to database","858","33755","23312","3750","1456","2129","1301"
"2016-03-14 22:09:22 +0000","Merge pull request #1170 from ministryofjustice/issues-1147  Issues 1147","854","33769","23326","3750","1456","2129","1301"
"2016-03-14 15:03:13 +0000","Merge pull request #1169 from ministryofjustice/display-awaiting-written-reasons-on-allocation  Show awaiting written reasons label next to case type","854","33781","23326","3749","1456","2142","1301"
"2016-03-14 14:00:02 +0000","Merge pull request #1162 from ministryofjustice/error-alert  Error summary alerts","854","33754","23299","3749","1456","2142","1301"
"2016-03-14 13:23:03 +0000","Merge pull request #1168 from ministryofjustice/agfs-lgfs-choice  Agfs lgfs choice","854","33741","23299","3741","1456","2137","1301"
"2016-03-14 12:54:18 +0000","Merge pull request #1171 from ministryofjustice/restore-default-unicorn-timeout  Restore default unicorn timeout of 15 seconds","852","33632","23201","3730","1456","2137","1301"
"2016-03-14 12:32:00 +0000","Merge pull request #1150 from ministryofjustice/issues-1146  Issues 1146","852","33632","23201","3730","1456","2137","1301"
"2016-03-14 10:57:09 +0000","Merge pull request #1167 from ministryofjustice/flicker-fix  Fix flickers in specs","852","33575","23201","3683","1455","2128","1301"
