"date","message","Number of files","Number of lines","0 - Ruby","1 - YAML","2 - ERB","3 - SASS","4 - JavaScript"
"2016-04-05 11:37:03 +0100","Merge pull request #2542 from alphagov/mb-rework-links-presenter  Update links presentation in publishing API presenters","2535","140337","78740","24348","14514","11728","9467"
"2016-04-05 11:37:03 +0100","Merge pull request #2542 from alphagov/mb-rework-links-presenter  Update links presentation in publishing API presenters","2535","140337","78740","24348","14514","11728","9467"
"2016-03-30 09:54:32 +0100","Merge pull request #2527 from alphagov/organisation-crests  Change organisation presenter, update crests.","2534","140420","78732","24348","14586","11747","9467"
"2016-03-22 09:42:32 +0000","Merge pull request #2515 from alphagov/add-save-draft-redirect-and-gone  Add save draft redirect and gone items","2534","140327","78639","24348","14586","11747","9467"
"2016-03-17 17:00:40 +0000","Add data migration to fix Edition.need_ids.  Recent changes to Rails have made it so that calling `Edition#need_ids` will automatically rewrite it. This will make Rails think the record has `#changes`.  Because we can't unschedule things if Rails thinks there are changes, this broke unscheduling of scheduled documents.  A quick solution is to simply `NULL`ify the relevant column. This is equivalent to what Rails would do anyway when the records will be resaved at some point.  ```bash vagrant@development:/var/govuk/whitehall$ bundle exec rails c --sandbox Loading development environment in sandbox (Rails 4.2.5.2) Any modifications you make will be rolled back on exit irb(main):001:0> e = Edition.find(497375); e.need_ids; e.changes   Edition Load (0.8ms)  SELECT  `editions`.* FROM `editions` WHERE (`editions`.`state` != 'deleted') AND `editions`.`id` = 497375 LIMIT 1 => {""need_ids""=>[[], []]} irb(main):002:0> sql = <<-SQL irb(main):003:0""   UPDATE editions irb(main):004:0""   SET need_ids = NULL irb(main):005:0""   WHERE need_ids = ""--- []\n""; irb(main):006:0"" SQL => ""  UPDATE editions\n  SET need_ids = NULL\n  WHERE need_ids = \""--- []\n\"";\n"" irb(main):007:0> ActiveRecord::Base.connection.execute(sql)    (4492.0ms)    UPDATE editions   SET need_ids = NULL   WHERE need_ids = ""--- [] "";  => nil irb(main):008:0> e = Edition.find(497375); e.need_ids; e.changes   Edition Load (1.0ms)  SELECT  `editions`.* FROM `editions` WHERE (`editions`.`state` != 'deleted') AND `editions`.`id` = 497375 LIMIT 1 => {} irb(main):009:0> ```  Relevant Trello ticket: https://trello.com/c/pKOxsyQg/333-un-schedule-scheduled-documents-in-whitehall-for-publishers-rails-conflict-large","2532","140164","78476","24348","14586","11747","9467"
"2016-03-10 14:00:57 +0000","Migrate policy tagging from content register to publishing API.  Content register is being retired, so this change changes the datasource for the policy drop-down menus from content register to the `/v2/linkables` endpoint on the publishing API.  https://trello.com/c/knKUdLPr/620-modify-whitehall-to-use-linkables-endpoint","2516","139825","78171","24348","14552","11747","9467"
"2016-03-08 10:56:50 +0000","Don't send update_type in content payload  `update_type` is supposed to be sent as an argument to the publish action.","2522","139838","78185","24348","14551","11747","9467"
"2016-02-02 08:51:03 +0000","Redirect is sent the Publishing API  when `StatisticsAnnouncement` is `unpublished?`  This required switching the presenter based on the `unpublished?` state of the model.","2517","139645","77992","24348","14551","11747","9467"
"2016-03-01 11:23:31 +0000","Print x progress indicator when publishing sync check fails  This makes it possible to see failures in a check script before it's finished running.","2510","139360","77712","24348","14546","11747","9467"
"2016-02-22 15:19:43 +0000","Use `policy_areas` for Rummager filter  `topics` is being renamed to `policy_areas` in Rummager (it has already been changed on the Whitehall frontend).","2506","139117","77437","24348","14550","11774","9468"
